#Xaxis_A5  YlengthA5  discharge_A5  dischargeEFF_A5  dischargeINEFF_A5  rech_Moulins_A5  rech_meltR_A5  P_A5
91.4062    20000      7.87933       0.00925604       7.87008            7.875            0.00394331     2.57003
91.7188    20000      7.59774       0.00851043       7.58923            7.59375          0.00363487     2.5788
92.0312    20000      7.31617       0.00779985       7.30837            7.3125           0.00334088     2.5878
92.3438    20000      7.03461       0.00712396       7.02749            7.03125          0.00306119     2.59703
92.6562    20000      6.75307       0.00648242       6.74659            6.75             0.00279565     2.60651
92.9688    20000      6.47155       0.00587488       6.46567            6.46875          0.0025441      2.61625
93.2812    20000      6.19003       0.00530098       6.18473            6.1875           0.00230637     2.62626
93.5938    20000      5.90854       0.00476034       5.90378            5.90625          0.00208229     2.63657
93.9062    20000      5.62706       0.00425258       5.6228             5.625            0.00187166     2.64718
94.2188    20000      5.34559       0.00377727       5.34181            5.34375          0.00167429     2.65812
94.5312    20000      5.06414       0.003334         5.0608             5.0625           0.00148996     2.6694
94.8438    20000      4.7827        0.0029223        4.77978            4.78125          0.00131845     2.68105
95.1562    20000      4.50127       0.00254169       4.49873            4.5              0.00115951     2.69309
95.4688    20000      4.21986       0.00219165       4.21767            4.21875          0.00101288     2.70556
95.7812    20000      3.93847       0.00187163       3.93659            3.9375           0.000878274    2.71847
96.0938    20000      3.65708       0.001581         3.6555             3.65625          0.000755388    2.73186
96.4062    20000      3.37571       0.0013191        3.37439            3.375            0.000643881    2.74577
96.7188    20000      3.09435       0.00108519       3.09326            3.09375          0.000543382    2.76024
97.0312    20000      2.813         0.000878451      2.81212            2.8125           0.000453482    2.77532
97.3438    20000      2.53166       0.000697939      2.53096            2.53125          0.000373724    2.79106
97.6562    20000      2.25033       0.0005426        2.24979            2.25             0.000303601    2.80751
97.9688    20000      1.96902       0.000411213      1.96861            1.96875          0.00024254     2.82475
98.2812    20000      1.68771       0.000302356      1.68741            1.6875           0.000189894    2.84285
98.5938    20000      1.40641       0.00021436       1.40619            1.40625          0.000144923    2.8619
98.9062    20000      1.12512       0.000145229      1.12497            1.125            0.000106779    2.88201
99.2188    20000      0.843832      9.25586e-05      0.843739           0.84375          7.44766e-05    2.9033
99.5312    20000      0.562551      5.33998e-05      0.562498           0.5625           4.68645e-05    2.92591
99.8438    20000      0.281275      2.40893e-05      0.281251           0.28125          2.25812e-05    2.95001
